"Muestra" "Descripcion" "Anio" "TipoAccidente" "Cantidad"
"1" "Nacional" "Nacional" 2010 "Atropello" 8247
"2" "Nacional" "Nacional" 2011 "Atropello" 8339
"3" "Regional" "XV Región Arica y Parinacota" 2010 "Atropello" 115
"4" "Regional" "XV Región Arica y Parinacota" 2011 "Atropello" 159
"5" "Comunal" "ARICA" 2010 "Atropello" 115
"6" "Comunal" "ARICA" 2011 "Atropello" 158
"7" "Comunal" "CAMARONES" 2010 "Atropello" 0
"8" "Comunal" "CAMARONES" 2011 "Atropello" 0
"9" "Comunal" "PUTRE" 2010 "Atropello" 0
"10" "Comunal" "PUTRE" 2011 "Atropello" 1
"11" "Comunal" "GENERAL LAGOS" 2010 "Atropello" 0
"12" "Comunal" "GENERAL LAGOS" 2011 "Atropello" 0
"13" "Regional" "I Región de Tarapacá" 2010 "Atropello" 168
"14" "Regional" "I Región de Tarapacá" 2011 "Atropello" 202
"15" "Comunal" "IQUIQUE" 2010 "Atropello" 108
"16" "Comunal" "IQUIQUE" 2011 "Atropello" 133
"17" "Comunal" "CAMINA" 2010 "Atropello" 0
"18" "Comunal" "CAMINA" 2011 "Atropello" 1
"19" "Comunal" "COLCHANE" 2010 "Atropello" 0
"20" "Comunal" "COLCHANE" 2011 "Atropello" 0
"21" "Comunal" "HUARA" 2010 "Atropello" 1
"22" "Comunal" "HUARA" 2011 "Atropello" 0
"23" "Comunal" "PICA" 2010 "Atropello" 0
"24" "Comunal" "PICA" 2011 "Atropello" 0
"25" "Comunal" "POZO ALMONTE" 2010 "Atropello" 8
"26" "Comunal" "POZO ALMONTE" 2011 "Atropello" 4
"27" "Comunal" "ALTO HOSPICIO" 2010 "Atropello" 51
"28" "Comunal" "ALTO HOSPICIO" 2011 "Atropello" 64
"29" "Regional" "II Región de Antofagasta" 2010 "Atropello" 290
"30" "Regional" "II Región de Antofagasta" 2011 "Atropello" 280
"31" "Comunal" "ANTOFAGASTA" 2010 "Atropello" 204
"32" "Comunal" "ANTOFAGASTA" 2011 "Atropello" 177
"33" "Comunal" "MEJILLONES" 2010 "Atropello" 3
"34" "Comunal" "MEJILLONES" 2011 "Atropello" 8
"35" "Comunal" "SIERRA GORDA" 2010 "Atropello" 0
"36" "Comunal" "SIERRA GORDA" 2011 "Atropello" 1
"37" "Comunal" "TALTAL" 2010 "Atropello" 4
"38" "Comunal" "TALTAL" 2011 "Atropello" 10
"39" "Comunal" "CALAMA" 2010 "Atropello" 73
"40" "Comunal" "CALAMA" 2011 "Atropello" 72
"41" "Comunal" "OLLAGUE" 2010 "Atropello" 0
"42" "Comunal" "OLLAGUE" 2011 "Atropello" 0
"43" "Comunal" "SAN PEDRO ATACAMA" 2010 "Atropello" 0
"44" "Comunal" "SAN PEDRO ATACAMA" 2011 "Atropello" 0
"45" "Comunal" "TOCOPILLA" 2010 "Atropello" 5
"46" "Comunal" "TOCOPILLA" 2011 "Atropello" 11
"47" "Comunal" "MARIA ELENA" 2010 "Atropello" 1
"48" "Comunal" "MARIA ELENA" 2011 "Atropello" 1
"49" "Regional" "III Región de Atacama" 2010 "Atropello" 91
"50" "Regional" "III Región de Atacama" 2011 "Atropello" 113
"51" "Comunal" "COPIAPO" 2010 "Atropello" 57
"52" "Comunal" "COPIAPO" 2011 "Atropello" 56
"53" "Comunal" "CALDERA" 2010 "Atropello" 1
"54" "Comunal" "CALDERA" 2011 "Atropello" 5
"55" "Comunal" "TIERRA AMARILLA" 2010 "Atropello" 1
"56" "Comunal" "TIERRA AMARILLA" 2011 "Atropello" 0
"57" "Comunal" "CHANARAL" 2010 "Atropello" 5
"58" "Comunal" "CHANARAL" 2011 "Atropello" 11
"59" "Comunal" "DIEGO DE ALMAGRO" 2010 "Atropello" 5
"60" "Comunal" "DIEGO DE ALMAGRO" 2011 "Atropello" 5
"61" "Comunal" "VALLENAR" 2010 "Atropello" 15
"62" "Comunal" "VALLENAR" 2011 "Atropello" 30
"63" "Comunal" "ALTO DEL CARMEN" 2010 "Atropello" 2
"64" "Comunal" "ALTO DEL CARMEN" 2011 "Atropello" 0
"65" "Comunal" "FREIRINA" 2010 "Atropello" 0
"66" "Comunal" "FREIRINA" 2011 "Atropello" 1
"67" "Comunal" "HUASCO" 2010 "Atropello" 5
"68" "Comunal" "HUASCO" 2011 "Atropello" 5
"69" "Regional" "IV Región de Coquimbo" 2010 "Atropello" 241
"70" "Regional" "IV Región de Coquimbo" 2011 "Atropello" 228
"71" "Comunal" "LA SERENA" 2010 "Atropello" 97
"72" "Comunal" "LA SERENA" 2011 "Atropello" 116
"73" "Comunal" "COQUIMBO" 2010 "Atropello" 54
"74" "Comunal" "COQUIMBO" 2011 "Atropello" 48
"75" "Comunal" "ANDACOLLO" 2010 "Atropello" 1
"76" "Comunal" "ANDACOLLO" 2011 "Atropello" 0
"77" "Comunal" "LA HIGUERA" 2010 "Atropello" 1
"78" "Comunal" "LA HIGUERA" 2011 "Atropello" 1
"79" "Comunal" "PAIGUANO" 2010 "Atropello" 0
"80" "Comunal" "PAIGUANO" 2011 "Atropello" 2
"81" "Comunal" "VICUNA" 2010 "Atropello" 5
"82" "Comunal" "VICUNA" 2011 "Atropello" 6
"83" "Comunal" "ILLAPEL" 2010 "Atropello" 10
"84" "Comunal" "ILLAPEL" 2011 "Atropello" 3
"85" "Comunal" "CANELA" 2010 "Atropello" 1
"86" "Comunal" "CANELA" 2011 "Atropello" 1
"87" "Comunal" "LOS VILOS" 2010 "Atropello" 4
"88" "Comunal" "LOS VILOS" 2011 "Atropello" 2
"89" "Comunal" "SALAMANCA" 2010 "Atropello" 1
"90" "Comunal" "SALAMANCA" 2011 "Atropello" 1
"91" "Comunal" "OVALLE" 2010 "Atropello" 56
"92" "Comunal" "OVALLE" 2011 "Atropello" 43
"93" "Comunal" "COMBARBALA" 2010 "Atropello" 3
"94" "Comunal" "COMBARBALA" 2011 "Atropello" 1
"95" "Comunal" "MONTE PATRIA" 2010 "Atropello" 6
"96" "Comunal" "MONTE PATRIA" 2011 "Atropello" 3
"97" "Comunal" "PUNITAQUI" 2010 "Atropello" 1
"98" "Comunal" "PUNITAQUI" 2011 "Atropello" 1
"99" "Comunal" "RIO HURTADO" 2010 "Atropello" 1
"100" "Comunal" "RIO HURTADO" 2011 "Atropello" 0
"101" "Regional" "V Región de Valparaíso" 2010 "Atropello" 931
"102" "Regional" "V Región de Valparaíso" 2011 "Atropello" 918
"103" "Comunal" "VALPARAISO" 2010 "Atropello" 226
"104" "Comunal" "VALPARAISO" 2011 "Atropello" 258
"105" "Comunal" "CASABLANCA" 2010 "Atropello" 10
"106" "Comunal" "CASABLANCA" 2011 "Atropello" 9
"107" "Comunal" "CONCON" 2010 "Atropello" 32
"108" "Comunal" "CONCON" 2011 "Atropello" 18
"109" "Comunal" "PUCHUNCAVI" 2010 "Atropello" 8
"110" "Comunal" "PUCHUNCAVI" 2011 "Atropello" 11
"111" "Comunal" "QUILPUE" 2010 "Atropello" 100
"112" "Comunal" "QUILPUE" 2011 "Atropello" 100
"113" "Comunal" "QUINTERO" 2010 "Atropello" 16
"114" "Comunal" "QUINTERO" 2011 "Atropello" 19
"115" "Comunal" "VILLA ALEMANA" 2010 "Atropello" 56
"116" "Comunal" "VILLA ALEMANA" 2011 "Atropello" 40
"117" "Comunal" "VINA DEL MAR" 2010 "Atropello" 128
"118" "Comunal" "VINA DEL MAR" 2011 "Atropello" 96
"119" "Comunal" "ISLA DE PASCUA" 2010 "Atropello" 3
"120" "Comunal" "ISLA DE PASCUA" 2011 "Atropello" 3
"121" "Comunal" "LOS ANDES" 2010 "Atropello" 41
"122" "Comunal" "LOS ANDES" 2011 "Atropello" 32
"123" "Comunal" "CALLE LARGA" 2010 "Atropello" 2
"124" "Comunal" "CALLE LARGA" 2011 "Atropello" 1
"125" "Comunal" "RINCONADA" 2010 "Atropello" 0
"126" "Comunal" "RINCONADA" 2011 "Atropello" 1
"127" "Comunal" "SAN ESTEBAN" 2010 "Atropello" 6
"128" "Comunal" "SAN ESTEBAN" 2011 "Atropello" 4
"129" "Comunal" "LA LIGUA" 2010 "Atropello" 14
"130" "Comunal" "LA LIGUA" 2011 "Atropello" 11
"131" "Comunal" "CABILDO" 2010 "Atropello" 7
"132" "Comunal" "CABILDO" 2011 "Atropello" 3
"133" "Comunal" "PAPUDO" 2010 "Atropello" 3
"134" "Comunal" "PAPUDO" 2011 "Atropello" 0
"135" "Comunal" "PETORCA" 2010 "Atropello" 2
"136" "Comunal" "PETORCA" 2011 "Atropello" 2
"137" "Comunal" "ZAPALLAR" 2010 "Atropello" 6
"138" "Comunal" "ZAPALLAR" 2011 "Atropello" 4
"139" "Comunal" "QUILLOTA" 2010 "Atropello" 40
